字頭,字頭,補充,古韻,擬音,,,,
蕤,蕤,,微,ɔl,,,,
甤,甤,,微,ɔl,,,,
桵,桵,,微,ɔl,,,,
緌,緌,,歌,ʌl,,,,
蘂,蘂,,歌,ʌl,,,,
蕊,蕊,,歌,ʌl,,,,
繠,繠,,歌,ʌl,,,,
瑞,瑞,,歌,ʌl,,,,
鋭（銳）,鋭,（銳）,月,ʌt,,,,
叡,叡,,月,ʌt,,,,
睿,睿,,月,ʌt,,,,
䓲,䓲,,月,ʌt,,,,
芮,芮,,緝,ɔp,,,,
汭,汭,,緝,ɔp,,,,
枘,枘,,緝,ɔp,,,,
蜹,蜹,,緝,ɔp,,,,
蚋,蚋,,緝,ɔp,,,,
嗺,嗺,,微,ɔl,,,,
朘（赤子陰）,朘,（赤子陰）,微,ɔl,,,,
厜,厜,,歌,ʌl,,,,
䮔,䮔,,歌,ʌl,,,,
觜（嘴）,觜,（嘴）,支,ə,,,,
㭰,㭰,,支,ə,,,,
嶉,嶉,,微,ɔl,,,,
檇,檇,,支,ə,,,,
辠,辠,,微,ɔl,,,,
罪,罪,,微,ɔl,,,,
㠑,㠑,,微,ɔl,,,,
𡽕,𡽕,,微,ɔl,,,,
晬,晬,,物,ɔt,,,,
祽,祽,,物,ɔt,,,,
𪓌,𪓌,,物,ɔt,,,,
醉,醉,,物,ɔt,,,,
最,最,,月,ʌt,,,,
蕞,蕞,,月,ʌt,,,,
崔（地名，姓）,崔,（地名，姓）,微,ɔl,,,,
催,催,,微,ɔl,,,,
縗,縗,,微,ɔl,,,,
摧（擠）,摧,（擠）,微,ɔl,,,,
崔（崔嵬）,崔,（崔嵬）,微,ɔl,,,,
漼（漼溰）,漼,（漼溰）,微,ɔl,,,,
磪,磪,,微,ɔl,,,,
榱,榱,,微,ɔl,,,,
𣿒,𣿒,,微,ɔl,,,,
漼（水深）,漼,（水深）,微,ɔl,,,,
璀,璀,,微,ɔl,,,,
嶊（嶊崣）,嶊,（嶊崣）,微,ɔl,,,,
趡,趡,,微,ɔl,,,,
綷,綷,,物,ɔt,,,,
倅,倅,,物,ɔt,,,,
淬,淬,,物,ɔt,,,,
焠,焠,,物,ɔt,,,,
啐,啐,,物,ɔt,,,,
㝮,㝮,,物,ɔt,,,,
𧑎,𧑎,,物,ɔt,,,,
翠,翠,,物,ɔt,,,,
濢,濢,,物,ɔt,,,,
𢡈,𢡈,,物,ɔt,,,,
萃,萃,,物,ɔt,,,,
顇,顇,,物,ɔt,,,,
悴,悴,,物,ɔt,,,,
瘁,瘁,,物,ɔt,,,,
䔴,䔴,,物,ɔt,,,,
粹,粹,,物,ɔt,,,,
毳,毳,,月,ʌt,,,,
脃,脃,,月,ʌt,,,,
膬,膬,,月,ʌt,,,,
脆,脆,,月,ʌt,,,,
竁,竁,,月,ʌt,,,,
䄟,䄟,,月,ʌt,,,,
䪎,䪎,,支,ə,,,,
倠,倠,,微,ɔl,,,,
綏,綏,,微,ɔl,,,,
雖,雖,,微,ɔl,,,,
荾,荾,,微,ɔl,,,,
葰（香菜）,葰,（香菜）,微,ɔl,,,,
奞,奞,,微,ɔl,,,,
夊,夊,,微,ɔl,,,,
睢（水名）,睢,（水名）,微,ɔl,,,,
滖,滖,,微,ɔl,,,,
隨,隨,,歌,ʌl,,,,
隋（國名，本作“隨”）,隋,（國名，本作“隨”）,歌,ʌl,,,,
髓,髓,,歌,ʌl,,,,
𩪦,𩪦,,歌,ʌl,,,,
瀡（滑）,瀡,（滑）,歌,ʌl,,,,
繐,繐,,質,ət,,,,
𥝩,𥝩,,質,ət,,,,
穗,穗,,質,ət,,,,
韢,韢,,質,ət,,,,
繀,繀,,微,ɔl,,,,
碎,碎,,物,ɔt,,,,
,,,物,ɔt,,,,
邃,邃,,物,ɔt,,,,
祟,祟,,物,ɔt,,,,
誶,誶,,物,ɔt,,,,
睟,睟,,物,ɔt,,,,
𠭥,𠭥,,物,ɔt,,,,
賥,賥,,物,ɔt,,,,
㥞,㥞,,物,ɔt,,,,
遂,遂,,物,ɔt,,,,
隧,隧,,物,ɔt,,,,
襚,襚,,物,ɔt,,,,
旞,旞,,物,ɔt,,,,
璲,璲,,物,ɔt,,,,
檖,檖,,物,ɔt,,,,
𣔾,𣔾,,物,ɔt,,,,
燧,燧,,物,ɔt,,,,
鐆,鐆,,物,ɔt,,,,
鐩,鐩,,物,ɔt,,,,
穟,穟,,物,ɔt,,,,
㒸,㒸,,物,ɔt,,,,
繸,繸,,物,ɔt,,,,
歲,歲,,月,ʌt,,,,
𦄑,𦄑,,月,ʌt,,,,
彗*,彗*,,月,ʌt,,,,
蔧*,蔧*,,月,ʌt,,,,
堆,堆,,微,ɔl,,,,
嵟,嵟,,微,ɔl,,,,
𠂤,𠂤,,微,ɔl,,,,
敦（治理，孤獨貌）,敦,（治理，孤獨貌）,微,ɔl,,,,
搥,搥,,微,ɔl,,,,
䇏,䇏,,微,ɔl,,,,
碓,碓,,微,ɔl,,,,
陮,陮,,微,ɔl,,,,
憝,憝,,微,ɔl,,,,
憞,憞,,微,ɔl,,,,
譈,譈,,微,ɔl,,,,
鐓,鐓,,微,ɔl,,,,
錞,錞,,微,ɔl,,,,
對,對,,物,ɔt,,,,
𠏮,𠏮,,物,ɔt,,,,
隊（隊伍）,隊,（隊伍）,物,ɔt,,,,
薱,薱,,物,ɔt,,,,
𩐌,𩐌,,物,ɔt,,,,
㬣,㬣,,物,ɔt,,,,
懟,懟,,物,ɔt,,,,
祋,祋,,月,ʌt,,,,
兑（兌）,兑,（兌）,月,ʌt,,,,
㟋,㟋,,月,ʌt,,,,
蓷,蓷,,微,ɔl,,,,
推,推,,微,ɔl,,,,
藬,藬,,微,ɔl,,,,
穨,穨,,微,ɔl,,,,
頽（頹）,頽,（頹）,微,ɔl,,,,
㿉,㿉,,微,ɔl,,,,
隤,隤,,微,ɔl,,,,
㢈,㢈,,微,ɔl,,,,
魋,魋,,微,ɔl,,,,
蘈,蘈,,微,ɔl,,,,
𧮓,𧮓,,微,ɔl,,,,
蹪,蹪,,微,ɔl,,,,
㿗,㿗,,微,ɔl,,,,
僓（僓然）,僓,（僓然）,微,ɔl,,,,
僓（嫻，長）,僓,（嫻，長）,微,ɔl,,,,
退,退,,物,ɔt,,,,
𢓴（同“退”）,𢓴,（同“退”）,物,ɔt,,,,
𢓇（“𢓴”或體）,𢓇,（“𢓴”或體）,物,ɔt,,,,
娧,娧,,月,ʌt,,,,
蜕（蛻）,蜕,（蛻）,月,ʌt,,,,
駾,駾,,月,ʌt,,,,
𢅼,𢅼,,微,ɔl,,,,
坳,坳,,幽,ɔ,,,,
泑（水名）,泑,（水名）,幽,ɔ,,,,
䥝,䥝,,宵,o,,,,
鏖,鏖,,宵,o,,,,
翺,翺,,幽,ɔ,,,,
翱,翱,,幽,ɔ,,,,
敖,敖,,宵,o,,,,
遨,遨,,宵,o,,,,
驁,驁,,宵,o,,,,
熬,熬,,宵,o,,,,
嶅,嶅,,宵,o,,,,
獒,獒,,宵,o,,,,
滶,滶,,宵,o,,,,
蔜,蔜,,宵,o,,,,
鼇,鼇,,宵,o,,,,
螯,螯,,宵,o,,,,
謷（詆毁）,謷,（詆毁）,宵,o,,,,
嗸,嗸,,宵,o,,,,
嗷,嗷,,宵,o,,,,
摮,摮,,宵,o,,,,
嫯,嫯,,宵,o,,,,
囂（囂囂）,囂,（囂囂）,宵,o,,,,
獓,獓,,宵,o,,,,
磝,磝,,宵,o,,,,
媪,媪,,幽,ɔ,,,,
拗,拗,,幽,ɔ,,,,
芺,芺,,宵,o,,,,
𪁾,𪁾,,宵,o,,,,
奥（西南隅）,奥,（西南隅）,覺,ɔk,,,,
懊,懊,,覺,ɔk,,,,
隩（邊涯）,隩,（邊涯）,覺,ɔk,,,,
傲,傲,,宵,o,,,,
奡,奡,,宵,o,,,,
謷（高大貌）,謷,（高大貌）,宵,o,,,,
慠,慠,,宵,o,,,,
𩕀（䫨）,𩕀,（䫨）,宵,o,,,,
澆（人名）,澆,（人名）,宵,o,,,,
臯,臯,,幽,ɔ,,,,
皋,皋,,幽,ɔ,,,,
櫜,櫜,,幽,ɔ,,,,
咎（咎繇，人名）,咎,（咎繇，人名）,幽,ɔ,,,,
鼛,鼛,,幽,ɔ,,,,
槹,槹,,幽,ɔ,,,,
𦺆,𦺆,,幽,ɔ,,,,
𣓌,𣓌,,幽,ɔ,,,,
䓘,䓘,,幽,ɔ,,,,
獋（夷獋，人名）,獋,（夷獋，人名）,幽,ɔ,,,,
高,高,,宵,o,,,,
膏,膏,,宵,o,,,,
羔,羔,,宵,o,,,,
餻,餻,,宵,o,,,,
篙,篙,,宵,o,,,,
𥢑,𥢑,,幽,ɔ,,,,
杲,杲,,宵,o,,,,
稾（稿）,稾,（稿）,宵,o,,,,
藁,藁,,宵,o,,,,
夰,夰,,宵,o,,,,
縞,縞,,宵,o,,,,
槀（槀本，香草）,槀,（槀本，香草）,宵,o,,,,
㚖,㚖,,宵,o,,,,
菒,菒,,宵,o,,,,
槀（木枯，俗作“槁”）,槀,（木枯，俗作“槁”）,宵,o,,,,
誥,誥,,覺,ɔk,,,,
郜,郜,,覺,ɔk,,,,
告,告,,覺,ɔk,,,,
膏（肥潤）,膏,（肥潤）,宵,o,,,,
尻,尻,,幽,ɔ,,,,
𦙷,𦙷,,幽,ɔ,,,,
考,考,,幽,ɔ,,,,
攷,攷,,幽,ɔ,,,,
栲,栲,,幽,ɔ,,,,
祰,祰,,幽,ɔ,,,,
丂,丂,,幽,ɔ,,,,
𣐊,𣐊,,幽,ɔ,,,,
薧（乾魚）,薧,（乾魚）,宵,o,,,,
槀*,槀*,,宵,o,,,,
靠,靠,,覺,ɔk,,,,
犒,犒,,宵,o,,,,
槁（犒勞）,槁,（犒勞）,宵,o,,,,
薅,薅,,幽,ɔ,,,,
茠,茠,,幽,ɔ,,,,
蒿,蒿,,宵,o,,,,
薧（薧里，墓地）,薧,（薧里，墓地）,宵,o,,,,
嚆,嚆,,宵,o,,,,
嗥,嗥,,幽,ɔ,,,,
豪,豪,,宵,o,,,,
號（大呼也）,號,（大呼也）,宵,o,,,,
毫,毫,,宵,o,,,,
濠,濠,,宵,o,,,,
𣘫,𣘫,,宵,o,,,,
𨚙,𨚙,,宵,o,,,,
𠢕,𠢕,,宵,o,,,,
諕,諕,,宵,o,,,,
譹,譹,,宵,o,,,,
好（好壞）,好,（好壞）,幽,ɔ,,,,
𡚽,𡚽,,幽,ɔ,,,,
郝（姓）,郝,（姓）,鐸,ʌk,,,,
好（喜好）,好,（喜好）,幽,ɔ,,,,
晧（皓）,晧,（皓）,幽,ɔ,,,,
浩,浩,,幽,ɔ,,,,
曍（皞）,曍,（皞）,幽,ɔ,,,,
皓,皓,,幽,ɔ,,,,
皥,皥,,幽,ɔ,,,,
澔,澔,,幽,ɔ,,,,
昊,昊,,宵,o,,,,
昦,昦,,宵,o,,,,
鎬,鎬,,宵,o,,,,
顥,顥,,宵,o,,,,
灝,灝,,宵,o,,,,
鰝,鰝,,宵,o,,,,
薃,薃,,宵,o,,,,
鄗,鄗,,宵,o,,,,
𧇼,𧇼,,宵,o,,,,
滈,滈,,宵,o,,,,
皜,皜,,宵,o,,,,
暠（白）,暠,（白）,宵,o,,,,
耗,耗,,宵,o,,,,
秏,秏,,宵,o,,,,
藃（縮也）,藃,（縮也）,宵,o,,,,
号,号,,宵,o,,,,
號（号令）,號,（号令）,宵,o,,,,
𤩭,𤩭,,宵,o,,,,
啁（啁哳）,啁,（啁哳）,幽,ɔ,,,,
抓（用手或爪取物）,抓,（用手或爪取物）,幽,ɔ,,,,
罺,罺,,宵,o,,,,
摷（取）,摷,（取）,宵,o,,,,
樔（魚網）,樔,（魚網）,宵,o,,,,
朝（朝夕）,朝,（朝夕）,宵,o,,,,
昭,昭,,宵,o,,,,
鉊,鉊,,宵,o,,,,
招（招致）,招,（招致）,宵,o,,,,
釗,釗,,宵,o,,,,
盄,盄,,宵,o,,,,
𥁏,𥁏,,宵,o,,,,
爪,爪,,幽,ɔ,,,,
㕚,㕚,,幽,ɔ,,,,
瑵,瑵,,幽,ɔ,,,,
沼,沼,,宵,o,,,,
㨄,㨄,,幽,ɔ,,,,
肈,肈,,宵,o,,,,
肁,肁,,宵,o,,,,
兆,兆,,宵,o,,,,
趙,趙,,宵,o,,,,
旐,旐,,宵,o,,,,
狣,狣,,宵,o,,,,
䍮,䍮,,宵,o,,,,
鮡,鮡,,宵,o,,,,
垗,垗,,宵,o,,,,
肇,肇,,宵,o,,,,
召（召唤）,召,（召唤）,宵,o,,,,
照,照,,宵,o,,,,
炤,炤,,宵,o,,,,
詔,詔,,宵,o,,,,
罩,罩,,藥,ok,,,,
䍜,䍜,,藥,ok,,,,
𩷹,𩷹,,藥,ok,,,,
棹,棹,,藥,ok,,,,
櫂（槳）,櫂,（槳）,藥,ok,,,,
淖（和也）,淖,（和也）,藥,ok,,,,
嘮（嘮呶）,嘮,（嘮呶）,宵,o,,,,
鈔（叉取）,鈔,（叉取）,宵,o,,,,
訬（擾也，矯健）,訬,（擾也，矯健）,宵,o,,,,
超,超,,宵,o,,,,
怊,怊,,宵,o,,,,
弨,弨,,宵,o,,,,
嘲,嘲,,宵,o,,,,
謿,謿,,宵,o,,,,
巢,巢,,宵,o,,,,
轈,轈,,宵,o,,,,
勦（抄襲）,勦,（抄襲）,宵,o,,,,
樔,樔,,宵,o,,,,
鄛,鄛,,宵,o,,,,
晁,晁,,宵,o,,,,
鼂,鼂,,宵,o,,,,
朝（朝代）,朝,（朝代）,宵,o,,,,
潮,潮,,宵,o,,,,
𩱦（炒）,𩱦,（炒）,侯,ɒ,,,,
朓（祭名）,朓,（祭名）,宵,o,,,,
梢（梢櫂）,梢,（梢櫂）,宵,o,,,,
捎（選擇）,捎,（選擇）,宵,o,,,,
旓,旓,,宵,o,,,,
髾,髾,,宵,o,,,,
䈰,䈰,,宵,o,,,,
筲,筲,,宵,o,,,,
蛸（蠨蛸）,蛸,（蠨蛸）,宵,o,,,,
莦,莦,,宵,o,,,,
稍,稍,,宵,o,,,,
稍,稍,,宵,o,,,,
𥳓,𥳓,,宵,o,,,,
燒,燒,,宵,o,,,,
韶,韶,,宵,o,,,,
㲈,㲈,,宵,o,,,,
佋（佋穆）,佋,（佋穆）,宵,o,,,,
柖,柖,,宵,o,,,,
勺（飲器）,勺,（飲器）,藥,ok,,,,
杓,杓,,藥,ok,,,,
芍（芍藥）,芍,（芍藥）,藥,ok,,,,
少（多少）,少,（多少）,宵,o,,,,
𨙹,𨙹,,宵,o,,,,
娋,娋,,宵,o,,,,
𨛍,𨛍,,宵,o,,,,
削（𨛍）,削,（𨛍）,宵,o,,,,
睄,睄,,宵,o,,,,
少（少小）,少,（少小）,宵,o,,,,
燒（野火燒田）,燒,（野火燒田）,宵,o,,,,
紹,紹,,宵,o,,,,
袑,袑,,宵,o,,,,
邵,邵,,宵,o,,,,
召（召南，召公）,召,（召南，召公）,宵,o,,,,
劭,劭,,宵,o,,,,
𠧙,𠧙,,宵,o,,,,
卲,卲,,宵,o,,,,
饒,饒,,宵,o,,,,
橈（船槳）,橈,（船槳）,宵,o,,,,
襓,襓,,宵,o,,,,
蟯,蟯,,宵,o,,,,
蕘,蕘,,宵,o,,,,
擾,擾,,幽,ɔ,,,,
㹛,㹛,,幽,ɔ,,,,
繞,繞,,宵,o,,,,
嬈（煩擾）,嬈,（煩擾）,宵,o,,,,
繞（纒）,繞,（纒）,宵,o,,,,
糟,糟,,幽,ɔ,,,,
醩,醩,,幽,ɔ,,,,
遭,遭,,幽,ɔ,,,,
㷮,㷮,,幽,ɔ,,,,
傮,傮,,幽,ɔ,,,,
鑿,鑿,,藥,ok,,,,
早,早,,幽,ɔ,,,,
蚤,蚤,,幽,ɔ,,,,
棗,棗,,幽,ɔ,,,,
澡,澡,,宵,o,,,,
藻,藻,,宵,o,,,,
薻,薻,,宵,o,,,,
䲃,䲃,,宵,o,,,,
璪,璪,,宵,o,,,,
璅,璅,,宵,o,,,,
繰（繫玉繩）,繰,（繫玉繩）,宵,o,,,,
皁（皂）,皁,（皂）,幽,ɔ,,,,
造（造作）,造,（造作）,幽,ɔ,,,,
艁,艁,,幽,ɔ,,,,
造（到也）,造,（到也）,幽,ɔ,,,,
慥,慥,,幽,ɔ,,,,
簉,簉,,幽,ɔ,,,,
竈,竈,,覺,ɔk,,,,
躁,躁,,宵,o,,,,
趮,趮,,宵,o,,,,
燥,燥,,宵,o,,,,
喿（古“噪”字）,喿,（古“噪”字）,宵,o,,,,
譟,譟,,宵,o,,,,
操（把持）,操,（把持）,宵,o,,,,
操（操守，品行）,操,（操守，品行）,宵,o,,,,
曹,曹,,幽,ɔ,,,,
槽,槽,,幽,ɔ,,,,
螬,螬,,幽,ɔ,,,,
嘈,嘈,,幽,ɔ,,,,
蓸,蓸,,幽,ɔ,,,,
漕,漕,,幽,ɔ,,,,
褿,褿,,幽,ɔ,,,,
草,草,,幽,ɔ,,,,
艸,艸,,幽,ɔ,,,,
慅（憂愁）,慅,（憂愁）,幽,ɔ,,,,
愺,愺,,幽,ɔ,,,,
屮（草）,屮,（草）,幽,ɔ,,,,
懆,懆,,宵,o,,,,
操*（操行）,操*,（操行）,宵,o,,,,
鄵,鄵,,宵,o,,,,
騷,騷,,幽,ɔ,,,,
搔,搔,,幽,ɔ,,,,
溞,溞,,幽,ɔ,,,,
𣔱,𣔱,,幽,ɔ,,,,
𠋺,𠋺,,幽,ɔ,,,,
慅（動）,慅,（動）,幽,ɔ,,,,
繅,繅,,宵,o,,,,
繰（抽絲）,繰,（抽絲）,宵,o,,,,
臊,臊,,宵,o,,,,
鱢,鱢,,宵,o,,,,
㛮,㛮,,幽,ɔ,,,,
嫂,嫂,,幽,ɔ,,,,
埽,埽,,幽,ɔ,,,,
掃（掃除）,掃,（掃除）,幽,ɔ,,,,
𦺋,𦺋,,幽,ɔ,,,,
裯（衹裯）,裯,（衹裯）,幽,ɔ,,,,
𦩍,𦩍,,幽,ɔ,,,,
刀,刀,,宵,o,,,,
忉,忉,,宵,o,,,,
擣,擣,,幽,ɔ,,,,
㠀（島）,㠀,（島）,幽,ɔ,,,,
禂,禂,,幽,ɔ,,,,
禱,禱,,幽,ɔ,,,,
壔,壔,,幽,ɔ,,,,
隝（島）,隝,（島）,幽,ɔ,,,,
導,導,,幽,ɔ,,,,
蹈,蹈,,幽,ɔ,,,,
倒（仆也）,倒,（仆也）,宵,o,,,,
道（路，道理）,道,（路，道理）,幽,ɔ,,,,
稻,稻,,幽,ɔ,,,,
導*,導*,,幽,ɔ,,,,
翿,翿,,幽,ɔ,,,,
燾（覆蓋）,燾,（覆蓋）,幽,ɔ,,,,
幬,幬,,幽,ɔ,,,,
䆃,䆃,,幽,ɔ,,,,
道（引導）,道,（引導）,幽,ɔ,,,,
翢,翢,,幽,ɔ,,,,
纛（毛羽車飾）,纛,（毛羽車飾）,覺,ɔk,,,,
纛（毛羽車飾）,纛,（毛羽車飾）,覺,ɔk,,,,
到,到,,宵,o,,,,
倒（倒懸）,倒,（倒懸）,宵,o,,,,
菿,菿,,宵,o,,,,
盜,盜,,宵,o,,,,
悼,悼,,藥,ok,,,,
絛,絛,,幽,ɔ,,,,
韜,韜,,幽,ɔ,,,,
縚,縚,,幽,ɔ,,,,
謟,謟,,幽,ɔ,,,,
滔,滔,,幽,ɔ,,,,
㹗,㹗,,幽,ɔ,,,,
慆,慆,,幽,ɔ,,,,
槄,槄,,幽,ɔ,,,,
夲,夲,,幽,ɔ,,,,
搯,搯,,幽,ɔ,,,,
𤔱,𤔱,,幽,ɔ,,,,
𩥅,𩥅,,幽,ɔ,,,,
燾（人名用字）,燾,（人名用字）,幽,ɔ,,,,
濤,濤,,幽,ɔ,,,,
饕,饕,,宵,o,,,,
叨,叨,,宵,o,,,,
弢,弢,,宵,o,,,,
𤘸,𤘸,,宵,o,,,,
𠬢,𠬢,,宵,o,,,,
挑（挑達）,挑,（挑達）,宵,o,,,,
陶,陶,,幽,ɔ,,,,
䛬,䛬,,幽,ɔ,,,,
綯,綯,,幽,ɔ,,,,
檮,檮,,幽,ɔ,,,,
騊,騊,,幽,ɔ,,,,
萄,萄,,幽,ɔ,,,,
匋,匋,,幽,ɔ,,,,
錭,錭,,幽,ɔ,,,,
蜪,蜪,,幽,ɔ,,,,
洮,洮,,宵,o,,,,
咷（號咷）,咷,（號咷）,宵,o,,,,
桃,桃,,宵,o,,,,
逃,逃,,宵,o,,,,
鼗,鼗,,宵,o,,,,
鞀,鞀,,宵,o,,,,
鞉,鞉,,宵,o,,,,
駣,駣,,宵,o,,,,
討,討,,幽,ɔ,,,,
猱,猱,,幽,ɔ,,,,
峱,峱,,幽,ɔ,,,,
𤫕,𤫕,,幽,ɔ,,,,
獿（猿屬）,獿,（猿屬）,幽,ɔ,,,,
夒,夒,,幽,ɔ,,,,
獶,獶,,幽,ɔ,,,,
鐃,鐃,,宵,o,,,,
譊,譊,,宵,o,,,,
橈（曲木，曲）,橈,（曲木，曲）,宵,o,,,,
撓（擾）,撓,（擾）,宵,o,,,,
呶,呶,,魚,ʌ,,,,
怓,怓,,魚,ʌ,,,,
獿（獿㺒，犬驚吠）,獿,（獿㺒，犬驚吠）,幽,ɔ,,,,
匘,匘,,宵,o,,,,
腦,腦,,宵,o,,,,
𠜶,𠜶,,宵,o,,,,
惱,惱,,宵,o,,,,
㛴,㛴,,宵,o,,,,
撓*（擾）,撓*,（擾）,宵,o,,,,
澆（回波）,澆,（回波）,宵,o,,,,
淖（泥沼）,淖,（泥沼）,藥,ok,,,,
臑（羊豕之臂）,臑,（羊豕之臂）,侯,ɒ,,,,
牢,牢,,幽,ɔ,,,,
醪,醪,,幽,ɔ,,,,
㗦,㗦,,幽,ɔ,,,,
哰（㘓哰）,哰,（㘓哰）,幽,ɔ,,,,
浶,浶,,幽,ɔ,,,,
勞（辛勞）,勞,（辛勞）,宵,o,,,,
澇（水名）,澇,（水名）,宵,o,,,,
蟧,蟧,,宵,o,,,,
䜎,䜎,,宵,o,,,,
老,老,,幽,ɔ,,,,
恅,恅,,幽,ɔ,,,,
轑,轑,,宵,o,,,,
潦（雨水大，路上積水）,潦,（雨水大，路上積水）,宵,o,,,,
䕩,䕩,,宵,o,,,,
嫪,嫪,,幽,ɔ,,,,
潦（水淹）,潦,（水淹）,宵,o,,,,
勞（慰勞）,勞,（慰勞）,宵,o,,,,
癆（藥毒）,癆,（藥毒）,宵,o,,,,
酪（乳酪）,酪,（乳酪）,鐸,ʌk,,,,
襃,襃,,幽,ɔ,,,,
褒,褒,,幽,ɔ,,,,
包,包,,幽,ɔ,,,,
胞,胞,,幽,ɔ,,,,
枹（木名）,枹,（木名）,幽,ɔ,,,,
苞,苞,,幽,ɔ,,,,
勹,勹,,幽,ɔ,,,,
𨚔,𨚔,,幽,ɔ,,,,
䈏,䈏,,職,ɔɪk,,,,
雹,雹,,覺,ɔk,,,,
𦢊,𦢊,,藥,ok,,,,
懪,懪,,藥,ok,,,,
薄（厚薄）,薄,（厚薄）,鐸,ʌk,,,,
寶,寶,,幽,ɔ,,,,
珤,珤,,幽,ɔ,,,,
保,保,,幽,ɔ,,,,
呆（古“保”字）,呆,（古“保”字）,幽,ɔ,,,,
褓,褓,,幽,ɔ,,,,
緥,緥,,幽,ɔ,,,,
鴇,鴇,,幽,ɔ,,,,
葆,葆,,幽,ɔ,,,,
駂,駂,,幽,ɔ,,,,
宲,宲,,幽,ɔ,,,,
𠤏,𠤏,,幽,ɔ,,,,
飽,飽,,幽,ɔ,,,,
報,報,,幽,ɔ,,,,
抱,抱,,幽,ɔ,,,,
勽（抱）,勽,（抱）,幽,ɔ,,,,
袌（懷抱）,袌,（懷抱）,幽,ɔ,,,,
鮑,鮑,,幽,ɔ,,,,
暴（猛）,暴,（猛）,藥,ok,,,,
虣,虣,,藥,ok,,,,
瀑（疾雨）,瀑,（疾雨）,藥,ok,,,,
𪇰,𪇰,,藥,ok,,,,
豹,豹,,藥,ok,,,,
爆（火裂）,爆,（火裂）,藥,ok,,,,
䶂,䶂,,藥,ok,,,,
㯱,㯱,,幽,ɔ,,,,
泡（水名）,泡,（水名）,幽,ɔ,,,,
脬,脬,,幽,ɔ,,,,
袍,袍,,幽,ɔ,,,,
庖,庖,,幽,ɔ,,,,
咆,咆,,幽,ɔ,,,,
匏,匏,,幽,ɔ,,,,
炮（燒烤也）,炮,（燒烤也）,幽,ɔ,,,,
炰,炰,,幽,ɔ,,,,
瓟,瓟,,幽,ɔ,,,,
颮（風急起）,颮,（風急起）,幽,ɔ,,,,
鞄,鞄,,幽,ɔ,,,,
狍,狍,,幽,ɔ,,,,
泡（泡泡，急流聲）,泡,（泡泡，急流聲）,幽,ɔ,,,,
麃,麃,,宵,o,,,,
奅,奅,,幽,ɔ,,,,
窌（南窌，地名）,窌,（南窌，地名）,幽,ɔ,,,,
皰（疱）,皰,（疱）,幽,ɔ,,,,
㯡,㯡,,幽,ɔ,,,,
貓,貓,,宵,o,,,,
媌,媌,,宵,o,,,,
茅,茅,,幽,ɔ,,,,
蝥（螌蝥）,蝥,（螌蝥）,幽,ɔ,,,,
矛,矛,,幽,ɔ,,,,
蟊,蟊,,幽,ɔ,,,,
𩭾,𩭾,,幽,ɔ,,,,
髳,髳,,幽,ɔ,,,,
毛,毛,,宵,o,,,,
髦,髦,,宵,o,,,,
芼（菜也）,芼,（菜也）,宵,o,,,,
旄,旄,,宵,o,,,,
氂,氂,,宵,o,,,,
卯,卯,,幽,ɔ,,,,
昴,昴,,幽,ɔ,,,,
茆,茆,,幽,ɔ,,,,
冃（古帽字）,冃,（古帽字）,幽,ɔ,,,,
帽,帽,,幽,ɔ,,,,
瑁,瑁,,幽,ɔ,,,,
冒,冒,,幽,ɔ,,,,
𥈆,𥈆,,幽,ɔ,,,,
媢,媢,,幽,ɔ,,,,
𣔺,𣔺,,幽,ɔ,,,,
萺,萺,,幽,ɔ,,,,
㒻,㒻,,幽,ɔ,,,,
茂,茂,,幽,ɔ,,,,
貿,貿,,幽,ɔ,,,,
鄮,鄮,,幽,ɔ,,,,
袤,袤,,幽,ɔ,,,,
耄,耄,,宵,o,,,,
𧂕,𧂕,,宵,o,,,,
芼（擇也）,芼,（擇也）,宵,o,,,,
眊,眊,,宵,o,,,,
覒,覒,,宵,o,,,,
䋃,䋃,,宵,o,,,,
毣,毣,,藥,ok,,,,
毣,毣,,藥,ok,,,,
皃,皃,,藥,ok,,,,
䫉,䫉,,藥,ok,,,,
貌,貌,,藥,ok,,,,
愗,愗,,侯,ɒ,,,,
楙,楙,,侯,ɒ,,,,
懋,懋,,侯,ɒ,,,,
瞀,瞀,,侯,ɒ,,,,
䓮,䓮,,侯,ɒ,,,,
𦼪,𦼪,,侯,ɒ,,,,
𦺒,𦺒,,侯,ɒ,,,,
蓩（毒草）,蓩,（毒草）,侯,ɒ,,,,
㮘,㮘,,侯,ɒ,,,,
妖,妖,,宵,o,,,,
祅,祅,,宵,o,,,,
枖,枖,,宵,o,,,,
訞,訞,,宵,o,,,,
夭（盛也）,夭,（盛也）,宵,o,,,,
𡝩,𡝩,,宵,o,,,,
要（古“腰”字，求也）,要,（古“腰”字，求也）,宵,o,,,,
腰,腰,,宵,o,,,,
葽,葽,,宵,o,,,,
喓,喓,,宵,o,,,,
䙅,䙅,,宵,o,,,,
邀,邀,,宵,o,,,,
䳩,䳩,,宵,o,,,,
夭（折也）,夭,（折也）,宵,o,,,,
殀,殀,,宵,o,,,,
幺,幺,,宵,o,,,,
陶（皋陶，人名）,陶,（皋陶，人名）,幽,ɔ,,,,
肴,肴,,宵,o,,,,
餚,餚,,宵,o,,,,
崤,崤,,宵,o,,,,
殽,殽,,宵,o,,,,
